Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,AIS Rank,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
SOCIO-ECONOMIC PLANNING SCIENCES,SOCIO-ECON PLAN SCI,ELSEVIER SCIENCE INC,0038-0121,1873-6041,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,6421,5.4,Q1,1.69,25.65%,15/106,5.3,Q1,4.8,1,7/106,Q1,93.87,0.0064,1.42611,0.901,86.3,Q2,36/101,287,97.56%,2.9,6.5,280
MATHEMATICS OF OPERATIONS RESEARCH,MATH OPER RES,INFORMS,2056-6085,1526-5471,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,5200,1.9,Q3,0.62,0.00%,58/106,2,Q3,1.8,0.2,42/106,Q2,60.85,0.00685,1.52426,1.614,45.8,Q1,15/101,136,100.00%,18.7,12.5,136
QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,QUAL RELIAB ENG INT,WILEY,2673-2726,1099-1638,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,4630,2.8,Q2,0.56,9.69%,38/106,2.4,Q3,2.1,0.7,46/106,Q2,57.08,0.00378,0.84237,0.462,64.6,Q3,72/101,218,97.25%,5,6.4,212
NAVAL RESEARCH LOGISTICS,NAV RES LOG,WILEY,0894-069X,1520-6750,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,3910,2.1,Q2,0.42,19.88%,52/106,2.5,Q2,1.8,0.6,66/106,Q3,38.21,0.00201,0.44737,0.851,51.4,Q2,38/101,65,100.00%,19.5,7.4,65
ENGINEERING OPTIMIZATION,ENG OPTIMIZ,TAYLOR & FRANCIS LTD,1179-1594,1029-0273,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,3800,2.2,Q2,0.6,6.13%,50/106,2.5,Q2,1.8,0.7,43/106,Q2,59.91,0.0027,0.60181,0.5,53.3,Q3,69/101,148,99.32%,6.3,6.1,147
International Transactions in Operational Research,INT T OPER RES,WILEY,2624-9634,1475-3995,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,3683,2.9,Q2,0.65,25.00%,37/106,2.9,Q2,2.2,0.5,38/106,Q2,64.62,0.00371,0.82735,0.559,65.6,Q3,59/101,138,99.28%,4.5,6.5,137
OPERATIONS RESEARCH LETTERS,OPER RES LETT,ELSEVIER,2322-5939,1872-7468,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,3529,0.9,Q4,0.19,19.21%,100/106,1,Q4,0.8,0.2,100/106,Q4,6.13,0.00258,0.57464,0.504,6.1,Q3,67/101,113,100.00%,15.4,13.9,113
COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,COMPUT OPTIM APPL,SPRINGER,0926-6003,1573-2894,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,3520,2,Q3,0.72,32.99%,56/106,2.2,Q3,1.8,0.3,34/106,Q2,68.4,0.00441,0.98252,1.145,47.6,Q1,24/101,89,100.00%,10.1,10.8,89
OPTIMIZATION,OPTIMIZATION,TAYLOR & FRANCIS LTD,2300-1682,1029-4945,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,3502,1.8,Q3,0.63,6.18%,60/106,2,Q3,1.6,0.3,39/106,Q2,63.68,0.00462,1.02925,0.713,43.9,Q2,46/101,189,100.00%,6.3,13.2,189
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,INT J COMPUT INTEG M,TAYLOR & FRANCIS LTD,2297-900X,1362-3052,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,3428,4,Q2,0.7,17.22%,29/106,4.2,Q2,3.7,0.4,36/106,Q2,66.51,0.00256,0.5709,0.672,73.1,Q2,48/101,79,96.20%,5,5.4,76
NETWORKS,NETWORKS,WILEY,2561-326X,1097-0037,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,3375,1.3,Q4,0.31,48.99%,86/106,1.9,Q3,1.3,0.2,86/106,Q4,19.34,0.00146,0.32569,0.624,19.3,Q3,51/101,52,96.15%,13.7,9.3,50
INFORMS JOURNAL ON COMPUTING,INFORMS J COMPUT,INFORMS,2666-7193,1526-5528,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,3246,2.1,Q2,0.49,0.00%,52/106,2.7,Q2,1.9,0.3,55/106,Q3,48.58,0.00526,1.17222,1.248,51.4,Q1,21/101,120,99.17%,7,9.8,119
JOURNAL OF QUALITY TECHNOLOGY,J QUAL TECHNOL,TAYLOR & FRANCIS INC,0022-4065,2575-6230,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,2931,2.2,Q2,0.63,12.16%,50/106,3.4,Q2,2,0.3,39/106,Q2,63.68,0.00143,0.32003,1.131,53.3,Q2,26/101,28,100.00%,19.4,10.1,28
Journal of Systems Engineering and Electronics,J SYST ENG ELECTRON,"SYSTEMS ENGINEERING & ELECTRONICS, EDITORIAL DEPT",1004-4132,1004-4132,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,2551,2.1,Q2,0.4,94.29%,52/106,2.1,Q3,1.8,0.4,72/106,Q3,32.55,0.00205,0.45615,0.405,51.4,Q3,75/101,131,98.47%,5.2,7,129
Optimization Letters,OPTIM LETT,SPRINGER HEIDELBERG,1862-4472,1862-4480,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,2371,1.1,Q4,0.45,20.29%,91/106,1.4,Q4,1.1,0.2,63/106,Q3,41.04,0.00373,0.83078,0.586,14.6,Q3,54/101,93,98.92%,6.2,11.7,92
RAIRO-OPERATIONS RESEARCH,RAIRO-OPER RES,EDP SCIENCES S A,0399-0559,2804-7303,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,2174,2.1,Q2,0.41,97.76%,52/106,1.7,Q3,1.7,0.4,69/106,Q3,35.38,0.00219,0.48756,0.302,51.4,Q4,85/101,249,100.00%,3.4,6.6,249
OPTIMAL CONTROL APPLICATIONS & METHODS,OPTIM CONTR APPL MET,WILEY,0143-2087,1099-1514,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,2170,1.5,Q3,0.55,7.01%,77/106,1.8,Q3,1.3,1,48/106,Q2,55.19,0.00191,0.42585,0.41,27.8,Q3,73/101,143,100.00%,5,5.3,143
OPTIMIZATION METHODS & SOFTWARE,OPTIM METHOD SOFTW,TAYLOR & FRANCIS LTD,2393-6401,1029-4937,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,2120,1.4,Q4,0.48,12.15%,82/106,1.8,Q3,1.3,0.2,57/106,Q3,46.7,0.00251,0.55892,0.955,23.1,Q2,33/101,75,98.67%,11.5,11.7,74
Journal of Industrial and Management Optimization,J IND MANAG OPTIM,AMER INST MATHEMATICAL SCIENCES-AIMS,2351-9894,1553-166X,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,2045,1.6,Q3,0.4,85.63%,71/106,1.3,Q4,1.4,0.4,72/106,Q3,32.55,0.00262,0.58421,0.289,33.5,Q4,86/101,205,99.51%,3.5,6.1,204
IISE Transactions,IISE TRANS,TAYLOR & FRANCIS INC,2666-6065,2472-5862,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1920,2.3,Q2,0.37,9.68%,47/106,2.9,Q2,2,0.5,78/106,Q3,26.89,0.00318,0.70869,0.752,56.1,Q2,43/101,86,100.00%,4.5,7.9,86
Mathematical Programming Computation,MATH PROGRAM COMPUT,SPRINGER HEIDELBERG,1867-2949,1867-2957,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1907,3.6,Q2,1.69,48.39%,32/106,10.8,Q1,3.6,0.1,7/106,Q1,93.87,0.00349,0.77815,4.297,70.3,Q1,1/101,21,100.00%,5.7,13.2,21
OR SPECTRUM,OR SPECTRUM,SPRINGER,0171-6468,1436-6304,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1888,1.9,Q3,0.38,55.91%,58/106,2.8,Q2,1.5,0.4,75/106,Q3,29.72,0.00113,0.25361,0.728,45.8,Q2,44/101,54,100.00%,11.2,8.3,54
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,INT J TECHNOL MANAGE,INDERSCIENCE ENTERPRISES LTD,2664-3731,1741-5276,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1797,1.4,Q4,0.42,0.76%,82/106,1.8,Q3,1.4,0.3,66/106,Q3,38.21,0.00041,0.09326,0.26,23.1,Q4,91/101,47,97.87%,13.4,9.5,46
Operational Research,OPER RES-GER,SPRINGER HEIDELBERG,1178-203X,1866-1505,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1665,2.7,Q2,0.53,24.10%,39/106,2.6,Q2,2.5,0.4,51/106,Q2,52.36,0.002,0.44509,0.504,63.7,Q3,67/101,68,94.12%,4.2,7.5,64
OPTIMIZATION AND ENGINEERING,OPTIM ENG,SPRINGER,1424-2818,1573-2924,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1645,1.7,Q3,0.5,28.63%,67/106,2.1,Q3,1.6,0.2,54/106,Q3,49.53,0.00201,0.44726,0.581,37.3,Q3,56/101,61,98.36%,5.3,8.2,60
Logistics-Basel,LOGISTICS-BASEL,MDPI,1179-1594,2305-6290,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,1487,3.6,Q2,0.74,99.69%,32/106,3.8,Q2,3.2,0.8,32/106,Q2,70.28,0.00133,0.29661,0.521,70.3,Q3,65/101,139,85.61%,2.9,5.3,119
JOURNAL OF SCHEDULING,J SCHEDULING,SPRINGER,1094-6136,1099-1425,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1438,1.8,Q3,0.28,36.45%,60/106,1.7,Q3,1.7,0.2,88/106,Q4,17.45,0.00091,0.20257,0.524,43.9,Q3,64/101,30,100.00%,10.4,10.5,30
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,INT J INF TECH DECIS,WORLD SCIENTIFIC PUBL CO PTE LTD,2662-2211,1793-6845,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1431,1.8,Q3,0.49,0.85%,60/106,1.9,Q3,1.7,1.3,55/106,Q3,48.58,0.00097,0.21667,0.314,43.9,Q4,84/101,18,100.00%,5.4,6.8,18
Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability,P I MECH ENG O-J RIS,SAGE PUBLICATIONS LTD,2322-5939,1748-0078,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1391,1.8,Q3,0.4,2.61%,60/106,2,Q3,1.5,0.4,72/106,Q3,32.55,0.00142,0.31679,0.384,43.9,Q4,77/101,70,98.57%,4.6,5.7,69
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,SPRINGER,1566-113X,1572-9427,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1361,1.5,Q3,0.37,21.24%,77/106,2.2,Q3,1.3,0.3,78/106,Q3,26.89,0.00084,0.18862,0.55,27.8,Q3,61/101,50,100.00%,8.6,9.2,50
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,SPRINGER,2148-9386,1573-2908,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1317,7.4,Q1,1.07,12.90%,8/106,4.9,Q1,6.1,2.6,18/106,Q1,83.49,0.00118,0.2645,1.14,92.9,Q1,25/101,19,100.00%,5.5,4.6,19
Central European Journal of Operations Research,CENT EUR J OPER RES,SPRINGER,2052-3211,1613-9178,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1296,2.3,Q2,0.41,57.23%,47/106,2,Q3,1.6,0.6,69/106,Q3,35.38,0.0009,0.20168,0.333,56.1,Q4,80/101,59,100.00%,5.4,6.8,59
APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,APPL STOCH MODEL BUS,WILEY,1524-1904,1526-4025,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1260,1.5,Q3,0.48,34.62%,77/106,1.4,Q4,1.3,0.2,57/106,Q3,46.7,0.00111,0.24704,0.404,27.8,Q4,76/101,69,100.00%,8.2,10.5,69
MATHEMATICAL METHODS OF OPERATIONS RESEARCH,MATH METHOD OPER RES,SPRINGER HEIDELBERG,2632-3249,1432-5217,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1234,1.2,Q4,0.38,44.44%,88/106,1.3,Q4,1.1,0.7,75/106,Q3,29.72,0.00089,0.20004,0.605,17.5,Q3,52/101,38,100.00%,14.4,12.9,38
QUEUEING SYSTEMS,QUEUEING SYST,SPRINGER,2624-9553,1572-9443,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1216,0.7,Q4,0.14,14.29%,101/106,0.9,Q4,0.6,0.3,102/106,Q4,4.25,0.001,0.22322,0.496,5.2,Q3,70/101,27,100.00%,17.9,15.2,27
Journal of Decision Systems,J DECIS SYST,TAYLOR & FRANCIS LTD,1246-0125,2116-7052,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,1202,4.3,Q1,0.76,29.87%,25/106,4.2,Q2,3.8,0.3,31/106,Q2,71.23,0.00129,0.28858,0.76,76.9,Q2,41/101,62,95.16%,4,4.8,59
Flexible Services and Manufacturing Journal,FLEX SERV MANUF J,SPRINGER,2673-253X,1936-6590,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1099,3.2,Q2,0.56,34.51%,35/106,2.9,Q2,2.9,0.4,46/106,Q2,57.08,0.00094,0.21113,0.575,67.5,Q3,58/101,59,100.00%,4.9,6.1,59
International Journal of Industrial Engineering Computations,INT J IND ENG COMP,GROWING SCIENCE,1923-2926,1923-2934,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,1083,1.8,Q3,0.33,91.45%,60/106,2,Q3,1.6,0.3,83/106,Q4,22.17,0.00056,0.1256,0.329,43.9,Q4,82/101,42,90.48%,7.3,5.6,38
Opsearch,OPSEARCH,SPRINGER INDIA,0030-3887,0975-0320,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,1033,1.8,Q3,0.34,4.94%,60/106,1.8,Q3,1.3,0.3,82/106,Q4,23.11,0.00073,0.16382,0.268,43.9,Q4,89/101,182,99.45%,4.5,7,181
Sustainable Futures,SUSTAIN FUTURES,ELSEVIER,2214-7829,2666-1888,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,1011,4.9,Q1,0.81,95.98%,19/106,5.6,Q1,4.3,1,28/106,Q2,74.06,0.00078,0.17398,0.755,82.5,Q2,42/101,266,98.87%,2.2,4.8,263
Systems Engineering,SYSTEMS ENG,WILEY,1098-1241,1520-6858,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,992,1.6,Q3,0.25,44.71%,71/106,1.9,Q3,1.4,0.2,93/106,Q4,12.74,0.00047,0.10508,0.243,33.5,Q4,92/101,51,94.12%,6.3,9,48
International Journal of Systems Science-Operations & Logistics,INT J SYST SCI-OPER,TAYLOR & FRANCIS LTD,2227-9091,2330-2682,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,989,3.3,Q2,0.71,3.21%,34/106,3.5,Q2,2.7,0.7,35/106,Q2,67.45,0.00099,0.22121,0.559,68.4,Q3,59/101,70,87.14%,3.3,5.5,61
Operations Research Perspectives,OPER RES PERSPECT,ELSEVIER,2214-7160,2214-7160,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,951,3.7,Q2,0.55,97.70%,30/106,3.5,Q2,3.7,0.8,48/106,Q2,55.19,0.00098,0.21829,0.726,72.2,Q2,45/101,20,100.00%,5.2,5.6,20
Cleaner Logistics and Supply Chain,CLEAN LOGIST SUPPL C,ELSEVIER,2772-3909,2772-3909,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,942,6.8,Q1,1.38,98.27%,11/106,6.9,Q1,6.4,1.1,12/106,Q1,89.15,0.00103,0.23062,1.033,90.1,Q2,30/101,60,100.00%,2.3,5.6,60
Quality Technology and Quantitative Management,QUAL TECHNOL QUANT M,TAYLOR & FRANCIS LTD,1684-3703,1811-4857,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,942,3,Q2,0.77,3.40%,36/106,2.6,Q2,2.4,0.5,30/106,Q2,72.17,0.00102,0.22911,0.548,66.5,Q3,63/101,42,97.62%,4.4,9,41
Journal of Simulation,J SIMUL,TAYLOR & FRANCIS LTD,1747-7778,1747-7786,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,839,1.7,Q3,0.32,26.36%,67/106,1.9,Q3,1.4,0.5,84/106,Q4,21.23,0.00053,0.12002,0.333,37.3,Q4,80/101,44,95.45%,6.1,8.4,42
Journal of Systems Science and Systems Engineering,J SYST SCI SYST ENG,SPRINGER HEIDELBERG,2767-3812,1861-9576,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,814,2,Q3,0.38,0.00%,56/106,1.6,Q4,1.9,0.4,75/106,Q3,29.72,0.00042,0.09563,0.283,47.6,Q4,87/101,46,100.00%,7.6,6,46
ASIA-PACIFIC JOURNAL OF OPERATIONAL RESEARCH,ASIA PAC J OPER RES,WORLD SCIENTIFIC PUBL CO PTE LTD,0217-5959,1793-7019,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,790,1,Q4,0.24,0.43%,98/106,1,Q4,0.9,0.9,95/106,Q4,10.85,0.00063,0.14129,0.237,8,Q4,94/101,58,100.00%,5.8,7.5,58
4OR-A Quarterly Journal of Operations Research,4OR-Q J OPER RES,SPRINGER HEIDELBERG,1477-8947,1614-2411,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,782,2.6,Q2,0.36,16.67%,42/106,2.5,Q2,2.4,0.7,80/106,Q4,25,0.00081,0.18067,0.816,60.8,Q2,40/101,9,100.00%,8.2,11.8,9
IMA Journal of Management Mathematics,IMA J MANAG MATH,OXFORD UNIV PRESS,2767-3170,1471-6798,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,766,4.3,Q1,0.74,20.78%,25/106,2.6,Q2,3.1,0.6,32/106,Q2,70.28,0.00053,0.11924,0.465,76.9,Q3,71/101,36,100.00%,5.5,6.7,36
Discrete Optimization,DISCRETE OPTIM,ELSEVIER,2773-1391,1873-636X,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,746,1.6,Q3,0.44,20.51%,71/106,1.2,Q4,1.5,0.1,65/106,Q3,39.15,0.00061,0.13754,0.584,33.5,Q3,55/101,23,100.00%,10.7,15.2,23
International Journal of Management Science and Engineering Management,INT J MANAG SCI ENG,TAYLOR & FRANCIS LTD,2624-893X,1750-9661,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,739,2.6,Q2,0.66,3.53%,42/106,2.7,Q2,1.9,1.1,37/106,Q2,65.57,0.00045,0.10072,0.372,60.8,Q4,79/101,25,88.00%,5,4.8,22
Memetic Computing,MEMET COMPUT,SPRINGER HEIDELBERG,1865-9284,1865-9292,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,718,2.3,Q2,0.57,12.66%,47/106,2.6,Q2,2.1,0.4,44/106,Q2,58.96,0.0006,0.13508,0.578,56.1,Q3,57/101,29,93.10%,6,5.4,27
Top,TOP,SPRINGER,2413-8851,1863-8279,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,711,1.4,Q4,0.3,39.39%,82/106,1.7,Q3,1.3,0.6,87/106,Q4,18.4,0.00071,0.15801,0.647,23.1,Q2,50/101,27,100.00%,7.9,10.4,27
Journal of Management Science and Engineering,J MANAGE SCI ENG,KEAI PUBLISHING LTD,2096-2320,2589-5532,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,680,3.7,Q2,1.25,94.95%,30/106,,,3.5,0.7,15/106,Q1,86.32,0.0009,0.20203,,72.2,,,32,96.88%,3.3,6.6,31
EURO Journal on Transportation and Logistics,EURO J TRANSP LOGIST,ELSEVIER,2192-4376,2192-4384,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,675,2.7,Q2,0.45,98.53%,39/106,2.9,Q2,2.7,0.2,63/106,Q3,41.04,0.00087,0.19387,0.993,63.7,Q2,32/101,25,100.00%,6.1,8.1,25
INFOR,INFOR,TAYLOR & FRANCIS INC,0315-5986,1916-0615,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,673,1.6,Q3,0.28,4.05%,71/106,1.5,Q4,1.3,0.3,88/106,Q4,17.45,0.00033,0.07366,0.32,33.5,Q4,83/101,34,97.06%,14.4,6.8,33
PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES,PROBAB ENG INFORM SC,CAMBRIDGE UNIV PRESS,2509-8020,1469-8951,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,667,1,Q4,0.28,37.21%,98/106,0.9,Q4,0.9,0.1,88/106,Q4,17.45,0.00077,0.17186,0.377,8,Q4,78/101,28,100.00%,11.3,14.7,28
International Journal of Mathematical Engineering and Management Sciences,INT J MATH ENG MANAG,RAM ARTI PUBL,2455-7749,2455-7749,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,651,1.5,Q3,0.46,93.84%,77/106,1.2,Q4,1.3,0.4,62/106,Q3,41.98,0.0006,0.1335,0.164,27.8,Q4,97/101,80,97.50%,3.9,6.8,78
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,DISCRETE EVENT DYN S,SPRINGER,2399-6641,1573-7594,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,611,1.6,Q3,0.47,36.73%,71/106,1.7,Q3,1.3,0.3,60/106,Q3,43.87,0.00051,0.11381,0.605,33.5,Q3,52/101,20,100.00%,10.4,8.1,20
CRIMINAL JUSTICE STUDIES,CRIM JUSTICE STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1478-601X,1478-6028,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,567,1.1,Q4,0.51,12.50%,91/106,1.6,Q4,1,0.3,53/106,Q2,50.47,0.00049,0.10963,0.515,14.6,Q3,66/101,21,100.00%,8.6,10,21
Decision Science Letters,DECISION SCI LETT,GROWING SCIENCE,1929-5804,1929-5812,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,552,1.1,Q4,0.28,3.16%,91/106,,,1,0.4,88/106,Q4,17.45,0.00035,0.0785,,14.6,,,78,98.72%,4.6,5.6,77
European Journal of Industrial Engineering,EUR J IND ENG,INDERSCIENCE ENTERPRISES LTD,2624-9634,1751-5262,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,510,1.4,Q4,0.28,0.00%,82/106,1.3,Q4,1.3,0.5,88/106,Q4,17.45,0.00027,0.06219,0.234,23.1,Q4,95/101,30,100.00%,6.7,9.5,30
Journal of the Operations Research Society of China,J OPER RES SOC CHINA,SPRINGER HEIDELBERG,2188-5729,2194-6698,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,487,1.1,Q4,0.2,4.02%,91/106,1.2,Q4,1,0.2,98/106,Q4,8.02,0.00095,0.21352,0.408,14.6,Q3,74/101,46,95.65%,4.1,10.6,44
Studies in Informatics and Control,STUD INFORM CONTROL,NATL INST R&D INFORMATICS-ICI,2575-8314,,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,478,1.1,Q4,0.24,1.61%,91/106,1.1,Q4,0.8,0.1,95/106,Q4,10.85,0.00023,0.05138,0.135,14.6,Q4,100/101,40,100.00%,6,4.3,40
Pacific Journal of Optimization,PAC J OPTIM,YOKOHAMA PUBL,1365-2907,1348-9151,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,450,0.7,Q4,0.25,0.00%,101/106,0.5,Q4,0.6,0.3,93/106,Q4,12.74,0.00036,0.08212,0.24,5.2,Q4,93/101,36,100.00%,11.5,12.3,36
EURO Journal on Computational Optimization,EURO J COMPUT OPTIM,ELSEVIER,2213-5383,2192-4414,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,391,1.7,Q3,0.48,100.00%,67/106,2.3,Q3,1.6,0.5,57/106,Q3,46.7,0.00079,0.17656,1.035,37.3,Q2,29/101,13,100.00%,4.1,10.2,13
ENGINEERING ECONOMIST,ENG ECON,TAYLOR & FRANCIS INC,0013-791X,1547-2701,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,379,1.2,Q4,0.15,8.82%,88/106,1.2,Q4,1,<0.1,101/106,Q4,5.19,0.00016,0.03579,0.264,17.5,Q4,90/101,12,91.67%,12.8,11.1,11
Brazilian Journal of Operations & Production Management,BRAZ J OPER PROD MAN,ASSOC BRASILEIRA ENGENHARIA PRODUCAO-ABEPRO,2237-8960,2237-8960,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,340,1.1,Q4,0.24,94.68%,91/106,1.3,Q4,0.9,0.4,95/106,Q4,10.85,0.00021,0.04801,0.137,14.6,Q4,99/101,33,96.97%,4.5,6,32
INFORMS Journal on Applied Analytics,INFORMS J APPL ANAL,INFORMS,2572-3170,2644-0873,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,277,1.8,Q3,0.32,0.00%,60/106,1.6,Q4,1.4,0.2,84/106,Q4,21.23,0.00071,0.15824,0.549,43.9,Q3,62/101,32,100.00%,3.3,5.9,32
SORT-Statistics and Operations Research Transactions,SORT-STAT OPER RES T,INST ESTADISTICA CATALUNYA-IDESCAT,2574-2531,2013-8830,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,234,1.2,Q4,0.36,0.00%,88/106,1.6,Q4,1.1,0.4,80/106,Q4,25,0.00032,0.07307,0.681,17.5,Q2,47/101,8,100.00%,7.4,12.1,8
IISE Transactions on Healthcare Systems Engineering,IISE T HEALTHC SYST,TAYLOR & FRANCIS LTD,2661-8001,2472-5587,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,218,1.3,Q4,0.42,3.85%,86/106,,,1.1,0.1,66/106,Q3,38.21,0.00035,0.07963,,19.3,,,18,88.89%,3.7,9.2,16
Operations Research and Decisions,OPER RES DECIS,"WROCLAW UNIV SCIENCE & TECHNOLOGY, FAC MANAGEMENT",2081-8858,2391-6060,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,194,1.1,Q4,0.2,82.76%,91/106,0.9,Q4,1,0.1,98/106,Q4,8.02,0.00017,0.03949,0.153,14.6,Q4,98/101,50,98.00%,3.7,10.1,49
Journal of Business Analytics,J BUS ANAL,TAYLOR & FRANCIS LTD,2573-234X,2573-2358,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,ESCI,176,1.6,Q3,0.41,14.81%,71/106,1.5,Q4,1.5,0.3,69/106,Q3,35.38,0.00015,0.03468,0.274,33.5,Q4,88/101,17,100.00%,4,5.4,17
MILITARY OPERATIONS RESEARCH,MIL OPER RES,MILITARY OPERATIONS RESEARCH SOC,2192-1709,2163-2758,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,135,0.3,Q4,0.04,0.00%,105/106,0.4,Q4,0.3,<0.1,106/106,Q4,0.47,0.00011,0.02595,0.168,1.4,Q4,96/101,22,100.00%,13.1,14.9,22
